Latitude,Longitude,Altitude,Direction,Slope
-26.183963,27.945393,1677.0,342.01,0.04874
-26.181806,27.945213,1684.0,355.72,0.0291
-26.179381,27.945347,1700.0,2.84,0.05926
-26.177165,27.945037,1716.0,352.84,0.06443
-26.174538,27.944151,1734.0,343.16,0.05898
-26.171126,27.942933,1740.0,342.24,0.01506
-26.168735,27.942064,1729.0,341.93,-0.03933
-26.166475,27.940361,1718.0,325.93,-0.03626
-26.163512,27.936127,1699.0,307.94,-0.03546
-26.161645,27.93335,1685.0,306.83,-0.04043
-26.159759,27.930547,1672.0,306.86,-0.03718
-26.158013,27.928445,1668.0,312.78,-0.01399
-26.155975,27.927316,1656.0,333.56,-0.04741
-26.153962,27.926948,1652.0,350.68,-0.01763
-26.151928,27.927213,1643.0,6.67,-0.03952
-26.148343,27.928898,1628.0,22.88,-0.03467
-26.145756,27.930188,1609.0,24.11,-0.06029
-26.143185,27.931492,1598.0,24.48,-0.03502
-26.141218,27.932474,1594.0,24.14,-0.01669
-26.138586,27.933866,1593.0,25.4,-0.00309
-26.135797,27.935614,1595.0,29.37,0.00562
-26.133784,27.936874,1595.0,29.33,0.0
-26.131542,27.938349,1592.0,30.57,-0.01036
-26.126122,27.941912,1584.0,30.55,-0.01143
-26.124016,27.943589,1576.0,35.56,-0.02779
-26.121689,27.9461,1564.0,44.09,-0.03331
-26.11924,27.948904,1549.0,45.79,-0.03841
-26.117506,27.950844,1532.0,45.13,-0.0622
-26.115336,27.953238,1536.0,44.73,0.01178
-26.113447,27.955338,1535.0,44.95,-0.00337
-26.111679,27.95692,1541.0,38.78,0.02379
-26.109705,27.958279,1550.0,31.72,0.03488
-26.108019,27.959241,1539.0,27.13,-0.05222
-26.104376,27.961346,1524.0,27.42,-0.03287
-26.102286,27.962548,1511.0,27.31,-0.0497
-26.098658,27.964685,1505.0,27.88,-0.01315
-26.096848,27.965728,1511.0,27.36,0.02648
-26.095161,27.966557,1511.0,23.81,0.0
-26.092945,27.967278,1507.0,16.29,-0.01558
-26.09056,27.967876,1498.0,12.69,-0.03311
-26.0878,27.968584,1500.0,12.97,0.00635
-26.084779,27.969338,1498.0,12.63,-0.00581
-26.081493,27.970153,1490.0,12.56,-0.02137
-26.079508,27.970652,1486.0,12.72,-0.01768
-26.077732,27.971088,1478.0,12.43,-0.03956
-26.075627,27.971678,1467.0,14.13,-0.04557
-26.073749,27.972327,1461.0,17.24,-0.02744
-26.071887,27.97275,1461.0,11.53,0.0
-26.070068,27.972651,1460.0,357.2,-0.00494
-26.068974,27.970842,1461.0,303.95,0.00459
-26.068738,27.968527,1472.0,276.47,0.04727
-26.068488,27.966221,1478.0,276.88,0.02586
-26.067832,27.963548,1493.0,285.28,0.0542
-26.06686,27.96176,1502.0,301.18,0.04311
-26.065491,27.959955,1518.0,310.17,0.06781
-26.063899,27.957829,1530.0,309.81,0.04341
-26.061769,27.955987,1538.0,322.16,0.02667
-26.060178,27.954978,1540.0,330.33,0.00982
-26.058197,27.954733,1527.0,353.66,-0.05866
-26.056381,27.955074,1516.0,9.58,-0.05372
-26.054291,27.955457,1517.0,9.35,0.00425
-26.05159,27.955983,1506.0,9.92,-0.03608
-26.049394,27.956399,1503.0,9.66,-0.01211
-26.047543,27.956747,1494.0,9.59,-0.04312
-26.045614,27.956577,1495.0,355.47,0.00465
-26.043934,27.955366,1493.0,327.07,-0.00899
-26.042216,27.95401,1483.0,324.66,-0.0427
-26.040533,27.952139,1469.0,315.03,-0.05293
-26.039254,27.950074,1463.0,304.58,-0.02394
-26.037793,27.948555,1446.0,316.95,-0.07647
-26.035601,27.947636,1446.0,339.36,0.0
-26.033767,27.9472,1458.0,347.94,0.05755
-26.0316,27.946677,1456.0,347.76,-0.00811
-26.029818,27.946125,1458.0,344.45,0.00972
-26.028144,27.945333,1461.0,336.97,0.01483
-26.025642,27.944076,1460.0,335.7,-0.00328
-26.023864,27.943181,1459.0,335.66,-0.00461
-26.022044,27.942317,1456.0,336.9,-0.01364
-26.02018,27.94143,1452.0,336.85,-0.01774
-26.018211,27.940507,1446.0,337.16,-0.02526
-26.016548,27.939719,1440.0,336.93,-0.02985
-26.013809,27.938371,1424.0,336.14,-0.04804
-26.011766,27.937008,1409.0,329.05,-0.05663
-26.008965,27.934434,1409.0,320.45,0.0
-26.006516,27.931701,1429.0,314.91,0.05186
-26.00487,27.929969,1444.0,316.6,0.05954
-26.003329,27.928595,1455.0,321.29,0.0501
-26.001507,27.927426,1465.0,330.03,0.04276
-25.999727,27.926636,1466.0,338.25,0.00469
-25.997744,27.926026,1463.0,344.54,-0.01311
-25.995225,27.925287,1450.0,345.23,-0.04488
-25.992952,27.924658,1438.0,346.03,-0.04607
-25.990663,27.924482,1430.0,356.05,-0.03136
-25.986201,27.924931,1414.0,5.17,-0.03212
-25.984111,27.925165,1407.0,5.75,-0.02997
-25.982147,27.925388,1404.0,5.83,-0.01367
-25.980222,27.925503,1404.0,3.07,0.0
-25.978268,27.925165,1402.0,351.16,-0.0091
-25.975495,27.924332,1397.0,344.89,-0.01565
-25.973247,27.923633,1390.0,344.38,-0.02697
-25.970838,27.9228,1383.0,342.73,-0.02495
-25.968878,27.922,1372.0,339.85,-0.04738
-25.964598,27.920212,1368.0,339.41,-0.00787
-25.962724,27.919307,1363.0,336.53,-0.02201
-25.960817,27.918117,1350.0,330.71,-0.05347
-25.959103,27.916809,1357.0,325.54,0.03029
-25.957243,27.915393,1364.0,325.61,0.02793
-25.955071,27.913837,1362.0,327.21,-0.00696
-25.953028,27.912868,1361.0,336.9,-0.00405
-25.951149,27.912099,1354.0,339.8,-0.03144
-25.949359,27.911376,1351.0,340.04,-0.01417
-25.946635,27.910264,1354.0,339.84,0.0093
-25.944444,27.909368,1350.0,339.81,-0.01541
-25.941803,27.908307,1343.0,340.14,-0.02242
-25.93959,27.907502,1330.0,341.89,-0.05021
-25.93747,27.906705,1312.0,341.32,-0.07234
-25.935509,27.90597,1297.0,341.37,-0.06519
-25.93352,27.905152,1289.0,339.7,-0.03393
-25.931185,27.904205,1294.0,339.96,0.01809
-25.929104,27.90332,1301.0,339.07,0.02826
-25.927203,27.902235,1313.0,332.83,0.0505
-25.924458,27.900713,1322.0,333.5,0.02639
-25.922207,27.899511,1316.0,334.35,-0.02161
-25.920506,27.898576,1311.0,333.69,-0.0237
-25.916715,27.896971,1300.0,339.15,-0.02439
-25.914745,27.896161,1286.0,339.7,-0.05994
-25.911751,27.894939,1294.0,339.84,0.02256
-25.908652,27.893638,1315.0,339.31,0.05701
-25.905798,27.892485,1308.0,340.03,-0.02073
-25.902575,27.891123,1294.0,339.19,-0.03652
-25.900043,27.890106,1309.0,340.13,0.05011
-25.89687,27.888582,1334.0,336.63,0.06505
-25.894761,27.887477,1360.0,334.76,0.10029
-25.892698,27.886055,1371.0,328.2,0.04075
-25.890925,27.885017,1372.0,332.22,0.00449
-25.886495,27.883269,1377.0,340.46,0.00957
-25.884275,27.882419,1377.0,340.99,0.0
-25.879588,27.880608,1360.0,340.83,-0.03081
-25.877542,27.879894,1365.0,342.57,0.02097
-25.875664,27.87968,1381.0,354.15,0.07622
-25.872751,27.878905,1397.0,346.54,0.04804
-25.870854,27.878658,1408.0,353.32,0.05179
-25.868644,27.879251,1419.0,13.57,0.04351
-25.866202,27.880554,1423.0,25.65,0.01328
-25.864031,27.8817,1419.0,25.41,-0.01497
-25.862248,27.882626,1411.0,25.05,-0.03656
-25.860451,27.883263,1404.0,17.69,-0.03338
-25.85732,27.883605,1386.0,5.61,-0.05145
-25.854505,27.883845,1370.0,4.39,-0.05097
-25.852353,27.884081,1359.0,5.64,-0.04575
-25.8505,27.884087,1349.0,0.17,-0.04853
-25.847892,27.883597,1356.0,350.4,0.0238
-25.845851,27.883191,1355.0,349.85,-0.00434
-25.843203,27.883523,1356.0,6.44,0.00337
-25.841229,27.883805,1346.0,7.33,-0.04519
-25.838158,27.88443,1336.0,10.38,-0.02881
-25.836079,27.885009,1324.0,14.07,-0.05035
-25.833609,27.88666,1316.0,31.03,-0.02496
-25.831892,27.887954,1302.0,34.15,-0.06068
-25.829906,27.889446,1289.0,34.07,-0.04877
-25.828354,27.890468,1279.0,30.66,-0.04985
-25.826538,27.891085,1268.0,17.0,-0.05209
-25.824663,27.891428,1253.0,9.35,-0.07099
-25.822491,27.89179,1239.0,8.53,-0.05733
-25.820418,27.89288,1235.0,25.33,-0.01568
-25.818795,27.89389,1235.0,29.26,0.0
-25.815667,27.894614,1213.0,11.77,-0.06192
-25.813605,27.894198,1200.0,349.71,-0.05579
-25.810926,27.892548,1192.0,330.99,-0.02349
-25.809156,27.892076,1184.0,346.5,-0.03952
-25.806999,27.891775,1200.0,352.84,0.06619
-25.804795,27.892576,1221.0,18.12,0.08144
-25.803211,27.89391,1219.0,37.17,-0.00905
-25.801263,27.894278,1203.0,9.65,-0.07282
-25.799423,27.893306,1200.0,334.56,-0.01324
-25.796884,27.892025,1187.0,335.57,-0.04192
-25.797696,27.888094,1200.0,257.08,0.0322
-25.798179,27.885841,1202.0,256.61,0.00863
-25.798986,27.883051,1206.0,252.19,0.01363
-25.79971,27.880568,1217.0,252.05,0.0421
-25.800357,27.87869,1224.0,249.06,0.03477
-25.802393,27.876509,1224.0,223.96,0.0
-25.803586,27.87453,1231.0,236.19,0.02936
-25.803628,27.869731,1248.0,269.44,0.03538
-25.80353,27.866119,1241.0,271.73,-0.01935
-25.803441,27.862782,1251.0,271.7,0.02992
-25.802697,27.860841,1248.0,293.06,-0.01421
-25.800378,27.859518,1230.0,332.81,-0.06209
-25.798113,27.858708,1223.0,342.15,-0.02646
-25.795282,27.857701,1223.0,342.24,0.0
-25.793303,27.857117,1213.0,345.12,-0.04392
-25.790222,27.856927,1195.0,356.82,-0.05246
-25.788406,27.856912,1200.0,359.57,0.02476
-25.786558,27.856838,1211.0,357.94,0.0535
-25.784637,27.856342,1228.0,346.91,0.07752
-25.782782,27.856067,1230.0,352.4,0.00961
-25.779223,27.856557,1220.0,7.07,-0.02508
-25.777032,27.856845,1201.0,6.75,-0.07745
-25.775136,27.857067,1193.0,6.02,-0.03774
-25.773283,27.856977,1184.0,357.5,-0.04364
-25.772705,27.854975,1184.0,287.78,0.0
-25.772786,27.852866,1183.0,267.56,-0.00473
-25.772897,27.850668,1182.0,266.79,-0.00454
-25.773201,27.848572,1182.0,260.85,0.0
-25.773965,27.844921,1191.0,256.92,0.02398
-25.774663,27.841753,1192.0,256.25,0.00306
-25.775355,27.838612,1196.0,256.25,0.01235
-25.775843,27.836378,1196.0,256.36,0.0
-25.776349,27.834055,1193.0,256.4,-0.01254
-25.776924,27.831894,1196.0,253.54,0.0133
-25.777656,27.829735,1197.0,249.37,0.00433
-25.774713,27.828034,1184.0,332.5,-0.03524
-25.773137,27.826706,1180.0,322.81,-0.01818
-25.771782,27.823703,1179.0,296.61,-0.00297
-25.770694,27.821029,1176.0,294.31,-0.01021
-25.769416,27.817559,1175.0,292.24,-0.00266
-25.767873,27.813754,1174.0,294.24,-0.00239
-25.766631,27.811467,1176.0,301.09,0.00748
-25.765426,27.809602,1171.0,305.66,-0.02175
-25.764023,27.807754,1160.0,310.13,-0.04545
-25.761985,27.805521,1160.0,315.38,0.0
-25.760447,27.80412,1160.0,320.63,0.0
-25.758343,27.802538,1172.0,325.89,0.04247
-25.756452,27.801341,1180.0,330.31,0.03305
-25.754171,27.800202,1185.0,335.78,0.01798
-25.751045,27.799008,1198.0,341.02,0.03537
-25.747026,27.797776,1209.0,344.56,0.02373
-25.744295,27.796896,1224.0,343.82,0.04744
-25.741886,27.796122,1240.0,343.86,0.05738
-25.739016,27.79542,1261.0,347.57,0.06426
-25.73647,27.794992,1300.0,351.39,0.13621
-25.734506,27.794894,1307.0,357.43,0.03202
-25.730473,27.794943,1241.0,0.63,-0.14717
-25.728226,27.794766,1225.0,355.94,-0.06388
-25.725964,27.794246,1214.0,348.3,-0.04282
-25.723577,27.793329,1205.0,340.91,-0.03204
-25.7212,27.79189,1197.0,331.39,-0.02657
-25.719493,27.790561,1193.0,324.95,-0.01725
-25.718127,27.789187,1189.0,317.82,-0.01951
-25.716119,27.786562,1187.0,310.33,-0.0058
